full_name,gender,certainty
Samara Lee,f,0.96
Dana Stevens,f,0.94
Jason Sudeikis,m,1.0
Mark Burton,m,1.0
Laura Ramsey,f,0.99
Lenny Abrahamson,m,0.67
Vicky Kaushal,f,0.9
Won Bin,m,0.79
Ron Mita,m,0.99
Jared Leto,m,1.0
Adam Brody,m,0.98
Ryan Gosling,m,0.99
Kevin McKidd,m,1.0
Irwin Winkler,m,1.0
"Hiromasa Yonebayashi, Giles New",m,1.0
Sherry White,f,0.99
Ed Yeager,m,0.99
Michael Tiddes,m,1.0
Max Barbakow,m,0.99
Scott Eastwood,m,1.0
Shiloh Fernandez,f,0.6
Miles Chapman,m,0.95
Nicolas Cage,m,1.0
Jonathan Herman,m,1.0
Noah Ringer,m,0.97
Brendan O'Brien,m,1.0
Peter Ramsey,m,1.0
Simon West,m,0.99
Joseph Friend,m,0.99
Sergio Bizzio,m,1.0
Thomas Hardy,m,1.0
Roy Andersson,m,0.99
Jean-Claude Van Damme,m,1.0
Stéphane Rousseau,m,0.99
Richard LaGravenese,m,1.0
Craig T. Nelson,m,1.0
Chris Gorak,m,0.91
Doug Liman,m,1.0
Zooey Deschanel,f,0.95
Gary Dauberman,m,1.0
Tommy Lee Jones,m,0.99
Chris Berman,m,0.91
Gabriele Mainetti,m,0.86
Rick Alvarez,m,1.0
Colin Quinn,m,1.0
Isabelle Huppert,f,0.99
Sarah Habel,f,0.99
Jim Taylor,m,1.0
Daveed Diggs,m,0.98
Marina de Tavira,f,0.99
Jake Kasdan,m,0.99
Daniel York,m,0.99
Idriss Abdillahi Houfaneh,m,0.98
J.G. Ballard,m,1.0
Joel Kinnaman,m,0.99
Sunny Pawar,m,0.76
Hubbel Palmer,m,0.83
Joseph Gordon-Levitt,m,0.99
Michael Chiklis,m,1.0
Jean-François Richet,m,0.99
David Auburn,m,1.0
Dougie Brimson,m,0.99
Nancy Meyers,f,1.0
Said Faraj,m,0.97
Brian Goodman,m,1.0
Daniel Nettheim,m,0.99
Stephen Hillenburg,m,1.0
Michael Lesslie,m,1.0
Harry Dean Stanton,m,0.99
Oren Moverman,m,0.97
Dalia Hernández,f,0.99
Sean Panting,m,1.0
Florian Henckel von Donnersmarck,m,1.0
Nicole Perlman,f,1.0
David Lagercrantz,m,1.0
"Ethan Maniquis, Robert Rodriguez",m,0.99
Eilidh Rankin,f,1.0
Raad Rawi,m,0.97
Robert C. O'Brien,m,1.0
Greg Marcks,m,1.0
David Robert Mitchell,m,1.0
Amanda Brody,f,1.0
Zaira Wasim,f,0.99
John Requa,m,1.0
Cornelia Funke,f,0.99
Dianne Houston,f,1.0
Cathy Cash Spellman,f,1.0
Scott Caan,m,1.0
Shawn Driscoll,m,0.94
Mark Lewis Jones,m,1.0
Bob Nelson,m,0.99
Susan Sarandon,f,1.0
Mary Harron,f,0.99
Nagnath S. Inamdar,m,0.95
Sruthi Hariharan,f,0.99
