full_name,gender,certainty
#VALUE!,u,0.0
'A.J.' Marriot,u,0.0
A. Russell Andrews,m,0.7
A.A. Milne,m,0.56
A.J. Cook,m,0.93
ASAP Rocky,m,0.92
Aaliyah,f,0.99
Aamir Khan,m,0.99
Aaran Thomas,m,0.98
Aaron Abrams,m,1.0
Aaron Ashmore,m,1.0
Aaron Blaise,m,1.0
Aaron Covington,m,1.0
Aaron Eckhart,m,1.0
Aaron Guzikowski,m,1.0
Aaron Hann,m,1.0
Aaron Harvey,m,1.0
Aaron Horvath,m,1.0
Aaron Moorhead,m,1.0
Aaron Paul,m,1.0
Aaron Poole,m,1.0
Aaron Schneider,m,1.0
Aaron Seltzer,m,1.0
Aaron Sorkin,m,1.0
Aaron Stewart-Ahn,m,1.0
Aaron Stockard,m,1.0
Aaron Taylor-Johnson,m,1.0
Abbas Kiarostami,m,0.98
Abbie Cornish,f,0.99
Abby Johnson,f,0.98
Abby Kohn,f,0.98
Abdel Raouf Dafri,m,0.99
Abdellatif Kechiche,m,0.99
Abdi Nazemian,m,0.93
Abhijat Joshi,m,1.0
Abhishek Bachchan,m,1.0
Abhishek Bharate,m,1.0
Abi Morgan,f,0.63
Abigail Breslin,f,0.99
Abigail Spencer,f,0.99
Abra,f,0.58
Abraham Attah,m,0.99
Abraham Benrubi,m,0.99
Abram Rooney,m,0.98
Achim von Borries,m,0.98
Adam Alleca,m,0.98
Adam B. Stein,m,0.98
Adam Barrie,m,0.98
Adam Beach,m,0.98
Adam Bousdoukos,m,0.98
Adam Brody,m,0.98
Adam Brooks,m,0.98
Adam Campbell,m,0.98
Adam Cooper,m,0.98
Adam Cozad,m,0.98
Adam De La Peña,m,0.98
Adam Devine,m,0.98
Adam Driver,m,0.98
Adam Elliot,m,0.98
Adam F. Goldberg,m,0.98
Adam Garcia,m,0.98
Adam Goldberg,m,0.98
Adam Green,m,0.98
Adam Gross,m,0.98
Adam Herz,m,0.98
Adam Horowitz,m,0.98
Adam J. Braff,m,0.98
Adam Jay Epstein,m,0.98
Adam Kreutner,m,0.98
Adam Lamberg,m,0.98
Adam Marcus,m,0.98
Adam Mazer,m,0.98
Adam McKay,m,0.98
Adam Nevill,m,0.98
Adam Pascal,m,0.98
Adam Pava,m,0.98
Adam Resnick,m,0.98
Adam Rifkin,m,0.98
Adam Robitel,m,0.98
Adam Sandler,m,0.98
Adam Schindler,m,0.98
Adam Scott,m,0.98
Adam Sevani,m,0.98
Adam Shankman,m,0.98
Adam Sztykiel,m,0.98
Adam Trese,m,0.98
Adam Wingard,m,0.98
Adar Beck,m,0.76
Addison Timlin,m,0.58
Adelaide Clemens,f,0.99
Adele Lim,f,0.98
Adeola Ariyo,f,0.7
Adewale Akinnuoye-Agbaje,m,0.94
Adi Hasak,m,0.72
Adil El Arbi,m,0.98
Adil Hussain,m,0.98
Aditi Balan,f,1.0
Aditya Chopra,m,1.0
Adrian Grenier,m,0.99
Adrian Grunberg,m,0.99
Adrian Hodges,m,0.99
Adrian Lyne,m,0.99
Adrian Molina,m,0.99
Adrian Quinton,m,0.99
Adriana Barraza,f,1.0
Adriana Ugarte,f,1.0
Adrien Brody,m,0.98
Adrienne Shelly,f,1.0
Advait Chandan,m,1.0
Adèle Exarchopoulos,f,0.98
Adèle Haenel,f,0.98
Afiya Bennett,f,0.94
Agata Kulesza,f,0.99
Agata Trzebuchowska,f,0.99
Agatha Christie,f,0.99
Agnes Bruckner,f,0.99
Agnieszka Wojtowicz-Vosloo,f,0.99
Agnès Caffin,f,0.99
Ah-In Yoo,u,0.0
Ahmaogak Sweeney,u,0.0
Ahmet Zappa,m,0.98
Ai Kobayashi,f,0.73
Aiden Longworth,m,0.98
Ailidh Mackay,f,1.0
Aimee King,f,1.0
Aimee Lagos,f,1.0
Aimee McKay,f,1.0
Aimee Teegarden,f,1.0
Aisha Takow,f,0.98
Aishwarya Rai Bachchan,f,1.0
Aisling Walsh,f,1.0
Aitana Sánchez-Gijón,f,0.99
Ajay Devgn,m,0.99
Ajay Monga,m,0.99
Aki Asakura,m,0.71
Aki Kaurismäki,m,0.71
Aki Maeda,m,0.71
Akimi Yoshida,f,0.81
Akin Aksu,m,0.96
Akio Ôtsuka,m,0.98
Akira Kurosawa,m,0.73
Akira Toriyama,m,0.73
Akiva Goldsman,m,0.93
Akiva Schaffer,m,0.93
Aksel Hennie,m,0.96
Akshay Kumar,m,1.0
Al Bollands,m,0.94
Al Kaplan,m,0.94
Al Pacino,m,0.94
Al Reinert,m,0.94
Al Ruddy,m,0.94
Alain Boublil,m,0.99
Alain Chabat,m,0.99
Alain Gagnol,m,0.99
Alain Godard,m,0.99
